date,workerid,amount
Tue May 15 08:10:57 PDT 2018,A2QMHQXR8K4VJ2,1.0
Tue May 15 08:11:10 PDT 2018,AF8KEA2127EAN,1.0
Tue May 15 08:11:21 PDT 2018,AOTCPS24JM5DQ,1.0
Tue May 15 08:11:37 PDT 2018,A2WWYVKGZZXBOB,1.0
Tue May 15 08:11:38 PDT 2018,A1K0S514CEY1UG,1.0
Tue May 15 08:11:41 PDT 2018,ARL942ATWSOZE,1.0
Tue May 15 08:11:43 PDT 2018,A2W2V66VVLL73O,1.0
Tue May 15 08:11:56 PDT 2018,A3RU7ANMLXJQF6,1.0
Tue May 15 08:12:15 PDT 2018,A2A4DJKCY4T6N5,1.0
Tue May 15 08:12:16 PDT 2018,A3PTO0DMF57GDG,1.0
Tue May 15 08:12:17 PDT 2018,AV7UX8QQXABSK,1.0
Tue May 15 08:12:32 PDT 2018,A2XFO0X6RCS98M,1.0
Tue May 15 08:12:36 PDT 2018,A1ICXZVLIZM6IF,1.0
Tue May 15 08:12:39 PDT 2018,A32QBXDPHHSTOD,1.0
Tue May 15 08:12:40 PDT 2018,A1F4N58CAX8IMK,1.0
Tue May 15 08:12:46 PDT 2018,A1F1A2FXG1I6ZY,1.0
Tue May 15 08:12:48 PDT 2018,AAYL7UAXO9E4T,1.0
Tue May 15 08:12:55 PDT 2018,A3HZFB2JLF3JMY,1.0
Tue May 15 08:12:56 PDT 2018,AXKTYKCT9NGHS,1.0
Tue May 15 08:12:56 PDT 2018,A1DBPM1UHEP4MU,1.0
Tue May 15 08:12:56 PDT 2018,AEOFJWOEXF94U,1.0
Tue May 15 08:12:56 PDT 2018,A3HERCSO8ZBV20,1.0
Tue May 15 08:12:57 PDT 2018,A3HNEYFOIJWPH1,1.0
Tue May 15 08:13:02 PDT 2018,AE3ZOTZGH91EN,1.0
Tue May 15 08:13:08 PDT 2018,A32FIOOQE8U98U,1.0
Tue May 15 08:13:12 PDT 2018,A2XVL0RNQMWI17,1.0
Tue May 15 08:13:14 PDT 2018,A2Y4RX286ZR5PX,1.0
Tue May 15 08:13:27 PDT 2018,A1967FI5GJEZN8,1.0
Tue May 15 08:13:30 PDT 2018,A1NGABF082HR2P,1.0
Tue May 15 08:13:35 PDT 2018,A2BMWUWMAFOX6R,1.0
Tue May 15 08:13:39 PDT 2018,ARLGZWN6W91WD,1.0
Tue May 15 08:13:50 PDT 2018,A31DZOQROTKN11,1.0
Tue May 15 08:13:51 PDT 2018,A1F34ZP6YNI98F,1.0
Tue May 15 08:14:00 PDT 2018,ANVAFB99K5RKP,1.0
Tue May 15 08:14:06 PDT 2018,A4HNS81WU3KY1,1.0
Tue May 15 08:14:06 PDT 2018,A3QH4NEUUO81CX,1.0
Tue May 15 08:14:10 PDT 2018,A1ZTSCPETU3UJW,1.0
Tue May 15 08:14:14 PDT 2018,A1H7977WNPO2UI,1.0
Tue May 15 08:14:15 PDT 2018,A1KYILRX3BK5EX,1.0
Tue May 15 08:14:19 PDT 2018,A3BDVHNMJECSKG,1.0
Tue May 15 08:14:23 PDT 2018,ALZVG5501Y5IX,1.0
Tue May 15 08:14:23 PDT 2018,AA4KKLIU4C3NY,1.0
Tue May 15 08:14:25 PDT 2018,AL8KOIH1DJ7D9,1.0
Tue May 15 08:14:26 PDT 2018,A1LRJ4U04532TM,1.0
Tue May 15 08:14:27 PDT 2018,ATZBGGX4J7B1N,1.0
Tue May 15 08:14:42 PDT 2018,A28HB7240OFGEW,1.0
Tue May 15 08:14:42 PDT 2018,A1N0D7925N0060,1.0
Tue May 15 08:14:45 PDT 2018,A1QF14CNDAGL6X,1.0
Tue May 15 08:14:50 PDT 2018,A3209D1227UCYP,1.0
Tue May 15 08:14:54 PDT 2018,A18SXC3JEN1O0U,1.0
Tue May 15 08:14:54 PDT 2018,AFZKP8TAXAUCR,1.0
Tue May 15 08:15:01 PDT 2018,A2VQ1WGHLLLNJ1,1.0
Tue May 15 08:15:03 PDT 2018,A8OE2E20OZYKI,1.0
Tue May 15 08:15:04 PDT 2018,A3N3DEAOEYY5WU,1.0
Tue May 15 08:15:05 PDT 2018,A2CK0OXMPOR9LE,1.0
Tue May 15 08:15:05 PDT 2018,ATF7HBD1TFI2U,1.0
Tue May 15 08:15:05 PDT 2018,A3GZYWA9S6J0K9,1.0
Tue May 15 08:15:07 PDT 2018,A3NPIXGXNFDZY1,1.0
Tue May 15 08:15:08 PDT 2018,A3LECJA9RVQQKZ,1.0
Tue May 15 08:15:19 PDT 2018,A2BF3A9KYSEFPO,1.0
Tue May 15 08:15:20 PDT 2018,A3L0DCUXI7X3A9,1.0
Tue May 15 08:15:24 PDT 2018,AB774I47XHB4K,1.0
Tue May 15 08:15:36 PDT 2018,A5BCSSPC180AG,1.0
Tue May 15 08:15:37 PDT 2018,A149ROBL26JWPJ,1.0
Tue May 15 08:15:40 PDT 2018,AFQKLIYNCVZTL,1.0
Tue May 15 08:15:41 PDT 2018,A1HIQZEC2ER7GS,1.0
Tue May 15 08:15:46 PDT 2018,AYKZ9H4BNW810,1.0
Tue May 15 08:15:50 PDT 2018,A1LB9JOMFQ1UMG,1.0
Tue May 15 08:15:50 PDT 2018,A1G6F1HWIS2K2K,1.0
Tue May 15 08:16:01 PDT 2018,AAJ1ZQECDZBEE,1.0
Tue May 15 08:16:02 PDT 2018,A3NQ988D43B0JW,1.0
Tue May 15 08:16:03 PDT 2018,A19L8SNH73AX1Z,1.0
Tue May 15 08:16:03 PDT 2018,ASAAL9165IX44,1.0
Tue May 15 08:16:04 PDT 2018,A6MWJK1YEY5L2,1.0
Tue May 15 08:16:04 PDT 2018,AB1X97ASE626Q,1.0
Tue May 15 08:16:06 PDT 2018,A2UBS8IF1MP2U3,1.0
Tue May 15 08:16:14 PDT 2018,A1HLG5NN2I16GN,1.0
Tue May 15 08:16:17 PDT 2018,A30KV6CIGNH3E5,1.0
Tue May 15 08:16:33 PDT 2018,A2J6T9ELNZ97JH,1.0
Tue May 15 08:16:36 PDT 2018,A22ABLVEI5EGPL,1.0
Tue May 15 08:16:43 PDT 2018,A2U5K5WW79T4Q2,1.0
Tue May 15 08:16:45 PDT 2018,A2AT5B7RW4VXBX,1.0
Tue May 15 08:16:51 PDT 2018,A1TLNLB9D87H6,1.0
Tue May 15 08:16:56 PDT 2018,A1P6OXEJ86HQRM,1.0
Tue May 15 08:16:56 PDT 2018,A36SM7QM8OK3H6,1.0
Tue May 15 08:17:02 PDT 2018,A1DIW2K1J89CMO,1.0
Tue May 15 08:17:08 PDT 2018,A32E28U1ZP67NE,1.0
Tue May 15 08:17:22 PDT 2018,A34B9FXOCN08RW,1.0
Tue May 15 08:17:23 PDT 2018,A3FOL78K2EQYVN,1.0
Tue May 15 08:17:40 PDT 2018,AKNYT1NTK2UFK,1.0
Tue May 15 08:17:47 PDT 2018,ALDQRWYZ8KQ9A,1.0
Tue May 15 08:17:49 PDT 2018,AVI7K876BV3QL,1.0
Tue May 15 08:17:51 PDT 2018,A2LMQ4497NMK3S,1.0
Tue May 15 08:17:59 PDT 2018,A36HF53IV3DWTS,1.0
Tue May 15 08:18:24 PDT 2018,A15LHHN76OW2UM,1.0
Tue May 15 08:18:32 PDT 2018,A192MH226Q1NT4,1.0
Tue May 15 08:18:33 PDT 2018,A26M997VYVK0E6,1.0
Tue May 15 08:18:35 PDT 2018,AR1IWBDA7MC86,1.0
Tue May 15 08:19:06 PDT 2018,A2OFRJHPNIMPI7,1.0
Tue May 15 08:19:14 PDT 2018,A1RVMADIZE3BXK,1.0
Tue May 15 08:19:16 PDT 2018,A1HMGPUALNY8XO,1.0
Tue May 15 08:20:09 PDT 2018,A16G6PPH1INQL8,1.0
Tue May 15 08:20:17 PDT 2018,AKZ8SFOAI4RZN,1.0
Tue May 15 08:20:25 PDT 2018,A3HHHZF9N10QMQ,1.0
Tue May 15 08:20:36 PDT 2018,A3963FCT1PKKOH,1.0
Tue May 15 08:20:38 PDT 2018,A2Q3FS9G8ITCN7,1.0
Tue May 15 08:20:43 PDT 2018,A2SSTHMYQU3ITB,1.0
Tue May 15 08:20:57 PDT 2018,A2M6URTK6WO6XJ,1.0
Tue May 15 08:21:04 PDT 2018,A2P53AN2M8IWFP,1.0
Tue May 15 08:21:06 PDT 2018,A2TG7EEQ2XG2IK,1.0
Tue May 15 08:21:07 PDT 2018,AC0T7AM0QTWN5,1.0
Tue May 15 08:21:17 PDT 2018,A3FFVN6DPKFDVG,1.0
Tue May 15 08:21:21 PDT 2018,A1JVWOBGNA6KJT,1.0
Tue May 15 08:21:38 PDT 2018,A3W2YF5RJ6R01N,1.0
Tue May 15 08:21:39 PDT 2018,A240OTT1T85UGT,1.0
Tue May 15 08:21:53 PDT 2018,A2RBF3IIJP15IH,1.0
Tue May 15 08:21:56 PDT 2018,A2ZJAEL03VTZ8,1.0
Tue May 15 08:22:12 PDT 2018,A1C7XI68SED8JE,1.0
Tue May 15 08:22:20 PDT 2018,A39YBI3TW5L004,1.0
Tue May 15 08:22:28 PDT 2018,A3L2FPKRD46FRW,1.0
Tue May 15 08:22:33 PDT 2018,A39HSOL2DZIR2Y,1.0
Tue May 15 08:22:51 PDT 2018,AK3H5QRAROFGP,1.0
Tue May 15 08:23:10 PDT 2018,A1U6A617Q95MTZ,1.0
Tue May 15 08:23:15 PDT 2018,A1T9KDKDFO114S,1.0
Tue May 15 08:23:34 PDT 2018,A1UW0C6QZOT3E7,1.0
Tue May 15 08:23:44 PDT 2018,A3VIQ9XPOYB8K6,1.0
Tue May 15 08:24:10 PDT 2018,AQM940W1VBAG6,1.0
Tue May 15 08:24:12 PDT 2018,A3PTFE5MJV5DU1,1.0
Tue May 15 08:24:14 PDT 2018,AAASQIW3J32OL,1.0
Tue May 15 08:24:24 PDT 2018,ACK1HEO9MGFQL,1.0
Tue May 15 08:24:26 PDT 2018,APRZ7BR8C0ZMQ,1.0
Tue May 15 08:25:07 PDT 2018,AW45SZDR1C2VS,1.0
Tue May 15 08:26:15 PDT 2018,A2C84POENS2UNY,1.0
Tue May 15 08:26:46 PDT 2018,AZODF0GYSNWRS,1.0
Tue May 15 08:27:31 PDT 2018,AWXIEV9H6KT9E,1.0
Tue May 15 08:29:58 PDT 2018,A1S343QA01CPGR,1.0
Tue May 15 08:30:20 PDT 2018,A3JLE2LJ5I17E2,1.0
Tue May 15 08:30:36 PDT 2018,A2VX8B1CJXRN2,1.0
Tue May 15 08:30:39 PDT 2018,A2CHDWKAYZ3P3E,1.0
Tue May 15 08:30:47 PDT 2018,ABL3H3O3BI8ZD,1.0
Tue May 15 08:32:15 PDT 2018,A2QUQ0S2F6K3QJ,1.0
Tue May 15 08:34:54 PDT 2018,ASARROL2Q6XRM,1.0
Tue May 15 08:36:28 PDT 2018,A299AYFO0RJGDI,1.0
Tue May 15 08:37:50 PDT 2018,A1U7O93JY3WFMU,1.0
Tue May 15 08:38:20 PDT 2018,A363K42LE9BAT5,1.0
Tue May 15 08:45:07 PDT 2018,A1YTNGH5SMM2CJ,1.0
Tue May 15 08:45:49 PDT 2018,ADKYGTRR8ZLBG,1.0
Tue May 15 08:47:24 PDT 2018,APHF6Z7738OYK,1.0
Tue May 15 08:47:33 PDT 2018,A11WCFPJSR5VZP,1.0
Tue May 15 08:53:11 PDT 2018,A1SLM4JRDIM430,1.0
Tue May 15 08:54:18 PDT 2018,AGRKG3YT3KMD8,1.0
Tue May 15 08:55:26 PDT 2018,A3TGNK32Q4JUOF,1.0
Tue May 15 08:55:33 PDT 2018,A1YZ0ETOCJO1B2,1.0
Tue May 15 09:01:31 PDT 2018,A3SGR153YCJ1XN,1.0
Tue May 15 09:03:01 PDT 2018,A2EPBSY0VPI38S,1.0
Tue May 15 09:03:45 PDT 2018,A2JCE6MD27QA5D,1.0
Tue May 15 09:04:39 PDT 2018,A323RBOHUTRW53,1.0
Tue May 15 09:05:16 PDT 2018,A2GWQQ2SINIOMQ,1.0
Tue May 15 09:15:18 PDT 2018,ABEJPX8HRQFAW,1.0
Tue May 15 09:34:30 PDT 2018,A370SFHTRCD230,1.0
,total paid to workers:,=SUM(c2:c161)
,40% paid to Amazon:,=.4*c162
,total:,=SUM(c162:c163
